type,type2,lat,long
0,cafe,25.026481,121.539489
0,cafe,24.981539,121.560467
0,cafe,24.998978,121.558159
0,cafe,24.988688,121.566668
0,cafe,24.995854,121.540942
0,cafe,24.987902,121.575782
0,cafe,24.993036,121.541895
0,cafe,25.057931,121.563295
0,cafe,25.0496,121.578755
0,cafe,25.05843,121.555588
0,cafe,25.0496,121.578755
0,cafe,25.053151,121.545272
0,cafe,25.051846,121.553064
0,cafe,25.059711,121.565729
0,cafe,25.048266,121.557297
0,cafe,25.06184,121.546229
0,cafe,25.048314,121.546634
0,cafe,25.047619,121.559137
0,cafe,25.050788,121.567142
0,cafe,25.035423,121.498912
0,cafe,25.026451,121.494245
0,cafe,25.028941,121.502298
0,cafe,25.037604,121.505397
0,cafe,25.021031,121.498502
0,cafe,24.936035,121.374086
0,cafe,24.943192,121.374719
0,cafe,24.944627,121.377205
0,cafe,25.045563,121.468435
0,cafe,25.060594,121.492863
0,cafe,25.069956,121.484016
0,cafe,25.080166,121.481531
0,cafe,25.062702,121.499553
0,cafe,25.051313,121.487739
0,cafe,25.071762,121.494528
0,cafe,25.066998,121.493277
0,cafe,25.080392,121.488839
0,cafe,25.068435,121.499357
0,cafe,25.087429,121.486338
0,cafe,25.083708,121.491758
0,cafe,24.990203,121.500523
0,cafe,24.996876,121.487221
0,cafe,24.989744,121.508931
0,cafe,25.002797,121.496515
0,cafe,24.994171,121.50527
0,cafe,25.00127,121.500414
0,cafe,25.00868,121.486209
0,cafe,24.996572,121.5226
0,cafe,24.999355,121.508521
0,cafe,25.000986,121.483521
0,cafe,25.002417,121.511576
0,cafe,24.991976,121.494671
0,cafe,24.997295,121.504444
0,cafe,25.0083,121.48302
0,cafe,25.007075,121.479888
0,cafe,25.000367,121.487872
0,cafe,25.000498,121.472524
0,cafe,24.993296,121.517349
0,cafe,24.986294,121.465408
0,cafe,24.98692,121.450781
0,cafe,24.96032002,121.4197054
0,cafe,24.974826,121.441792
0,cafe,24.983041,121.46566
0,cafe,24.97833,121.444961
0,cafe,24.983082,121.537662
0,cafe,24.98307,121.533895
0,cafe,24.980378,121.54182
0,cafe,24.968299,121.541486
0,cafe,24.976748,121.544324
0,cafe,24.973623,121.530691
0,cafe,24.962669,121.513084
0,cafe,24.957101,121.537961
0,cafe,24.978446,121.551062
0,cafe,24.973272,121.539541
0,cafe,25.04945,121.455599
0,cafe,25.051158,121.44441
0,cafe,25.026357,121.417978
0,cafe,25.05346,121.454795
0,cafe,25.026717,121.427436
