id,time,city,address,filter,price,area,deposit,mgmt_fee,parking_space,min_lease,decor,register,g_location1,g_location2,g_address,lat,long,floor,bldg_floor,density_2021,ave_pop_growth,2019_income
11693100,21-Dec,NTPC,新北市新莊區福前街,新莊區福基里,60000,46,面議,4600.0,平面式停車位，費用另計,一年,簡易裝潢,已辦,"25.0586827,121.4638549","25°03'31.3""N 121°27'49.9""E",242新北市新莊區化成路403巷,25.0586827,121.4638549,1F,13F,6425.330461151112,5.188310607719249,1869537.0
11631608,21-Dec,NTPC,新北市板橋區雙十路二段,板橋區忠翠里,75000,37,二個月,,,一年,尚未裝潢,已辦,"25.0264431,121.4763777","25°01'35.2""N 121°28'35.0""E",220新北市板橋區雙十路二段,25.0264431,121.4763777,1F,3F,46026.76696458954,-0.2866012753461729,5111619.0
11693999,21-Dec,NTPC,新北市新莊區四維路21號,新莊區南港里,95000,31,二個月,2827.0,機械式停車位，費用另計,1年,尚未裝潢,已辦,"25.0248390,121.4237680","25°01'29.4""N 121°25'25.6""E",242新北市新莊區四維路10-2號,25.024839,121.423768,1F,12F,46306.66536994098,-0.9329235669840528,1256619.0
11603090,21-Dec,NTPC,新北市永和區中山路一段,永和區前溪里,18000,25,二個月,,,一年,高檔裝潢,已辦,"25.0103438,121.5138413","25°00'37.2""N 121°30'49.8""E",234新北市永和區中山路一段17號,25.0103438,121.5138413,1F,4F,43271.07631024136,-0.1484468104016182,704520.0
11765467,21-Dec,NTPC,新北市林口區忠福路,林口區南勢里,48000,53,二個月,,,一年,尚未裝潢,已辦,"25.0786685,121.3610923","25°04'43.2""N 121°21'39.9""E",244新北市林口區,25.0786685,121.3610923,1F,2F,6952.096520265434,10.359882106826465,10578817.0
11696041,21-Dec,NTPC,新北市新莊區五權一路1號,新莊區福興里,40000,30,二個月,80.0,平面式停車位，已含租金內,兩年,尚未裝潢,已辦,"25.0657710,121.4577460","25°03'56.8""N 121°27'27.9""E",242新北市新莊區五權一路3,25.065771,121.457746,1F,14F,17226.178554466227,0.1267952965561776,1569152.0
11766217,21-Dec,NTPC,新北市新店區中正路65巷1號,新店區五峯里,55000,27,面議,,,一年,簡易裝潢,已辦,"24.9692687,121.5433807","24°58'09.4""N 121°32'36.2""E",231新北市新店區中正路75巷長虹峰華大廈,24.9692687,121.5433807,1F,4F,24954.28769777398,0.3445557856898892,3236726.0
11474399,21-Dec,NTPC,新北市三重區正義南路,三重區仁德里,42000,21,二個月,,,一年,簡易裝潢,已辦,"25.0604060,121.4980510","25°03'37.5""N 121°29'53.0""E",241新北市三重區正義南路,25.060406,121.498051,1F,6F,38366.68530723602,-1.6496677052488362,395748.0
11749874,21-Dec,NTPC,新北市淡水區英專路19號,淡水區長庚里,145000,24,面議,,,兩年,簡易裝潢,已辦,"25.1696366,121.4454355","25°10'10.7""N 121°26'43.6""E",251新北市淡水區英專路21巷1號,25.1696366,121.4454355,1F,4F,20453.826334583915,-1.253896200101782,403139.0
11769117,21-Dec,NTPC,新北市永和區竹林路39巷21號,永和區復興里,70000,62,二個月,,,兩年,簡易裝潢,已辦,"25.0148970,121.5188960","25°00'53.6""N 121°31'08.0""E",234新北市永和區竹林路39巷21-2號,25.014897,121.518896,1F,5F,44071.10914351025,0.0969768346839187,753975.0
11776581,21-Dec,NTPC,新北市中和區景平路,中和區和興里,58000,43,面議,,,兩年,簡易裝潢,已辦,"24.9950080,121.5022570","24°59'42.0""N 121°30'08.1""E",235新北市中和區景平路,24.995008,121.502257,1F,5F,49607.47915870769,-0.7457078633963536,1359957.0
11628301,21-Dec,NTPC,新北市新店區大豐路,新店區明德里,50000,40,二個月,,平面式停車位，已含租金內,兩年,中檔裝潢,已辦,"24.9803212,121.5414210","24°58'49.2""N 121°32'29.1""E",231新北市新店區大豐路11號,24.9803212,121.541421,1F,2F,37769.13981789072,-0.4434839500542094,1528294.0
11735394,21-Dec,NTPC,新北市板橋區華江一路,板橋區溪頭里,49800,21,二個月,,平面式停車位，費用另計,一年,簡易裝潢,已辦,"25.0338807,121.4672264","25°02'02.0""N 121°28'02.0""E",220新北市板橋區華江八路,25.0338807,121.4672264,1F,19F,9155.398421273849,5.193951962506841,1648505.0
11750782,21-Dec,NTPC,新北市板橋區北門街55號,板橋區赤松里,36000,27,二個月,,,一年,已辦,已辦,"25.0110630,121.4553860","25°00'39.8""N 121°27'19.4""E",220新北市板橋區西門街9號,25.011063,121.455386,1F,3F,63496.32985048773,7.09195444391549,274539.0
11677227,21-Dec,NTPC,新北市板橋區文化路二段339號,板橋區柏翠里,100000,41,二個月,,,兩年,尚未裝潢,已辦,"25.0305465,121.4725894","25°01'50.0""N 121°28'21.3""E",220新北市板橋區,25.0305465,121.4725894,1F,4F,6286.002729824667,4.059029583202648,1408720.0
11722913,21-Dec,NTPC,新北市新莊區中原路139號,新莊區昌信里,17750,50,二個月,,,兩年,尚未裝潢,已辦,"25.0541030,121.4544860","25°03'14.8""N 121°27'16.2""E",242新北市新莊區中原路139號,25.054103,121.454486,1F,4F,95907.28289619804,-0.0069047569457877,1142836.0
11720467,21-Dec,NTPC,新北市板橋區懷德街65號,板橋區青翠里,65000,30,面議,,,兩年,尚未裝潢,已辦,"25.0324080,121.4774920","25°01'56.7""N 121°28'39.0""E",220新北市板橋區懷德街65號,25.032408,121.477492,1F,5F,51793.28876180431,-0.7427024950931393,639680.0
11806630,21-Dec,NTPC,新北市蘆洲區中山一路,蘆洲區溪墘里,220000,100,二個月,,,兩年,已辦,已辦,"25.081288,121.477251","25°04'52.6""N 121°28'38.1""E",247新北市蘆洲區中山一路93號,25.081288,121.477251,1F,5F,18859.15848101407,-0.7071121077223037,655701.0
11744868,21-Dec,NTPC,新北市淡水區新市一路二段258號,淡水區崁頂里,42000,28,二個月,1400.0,,兩年,尚未裝潢,已辦,"25.1836809,121.4443153","25°11'01.3""N 121°26'39.5""E",251新北市淡水區中山北路二段7號,25.1836809,121.4443153,1F,13F,5179.330969260427,12.4154763814305,5025469.0
11722909,21-Dec,NTPC,新北市新莊區中原路139號,新莊區昌信里,35500,100,二個月,1400.0,,兩年,尚未裝潢,已辦,"25.0541030,121.4544860","25°03'14.8""N 121°27'16.2""E",242新北市新莊區中原路139號,25.054103,121.454486,1F,13F,95907.28289619804,-0.0069047569457877,1142836.0
11820096,21-Dec,NTPC,新北市石碇區碇坪路50號,石碇區潭邊里,70000,67,二個月,,,一年,尚未裝潢,已辦,"24.9922781,121.6578616","24°59'32.2""N 121°39'28.3""E",223新北市石碇區潭邊里,24.9922781,121.6578616,1F,5F,101.55575985221634,-0.2992104468987863,161256.0
11791081,21-Dec,NTPC,新北市新店區二十張路1巷3弄3號,新店區寶安里,25000,45,二個月,,,兩年,中檔裝潢,未辦,"24.9829072,121.5413404","24°58'58.5""N 121°32'28.8""E",23143新北市新店區北新路3段190號,24.9829072,121.5413404,1F,4F,40740.36710238526,-0.9142158341646224,2037788.0
11603048,21-Dec,NTPC,新北市永和區中山路一段,永和區前溪里,15000,25,二個月,,,一年,高檔裝潢,已辦,"25.0103438,121.5138413","25°00'37.2""N 121°30'49.8""E",234新北市永和區中山路一段17號,25.0103438,121.5138413,1F,4F,43271.07631024136,-0.1484468104016182,704520.0
11708008,21-Dec,NTPC,新北市三重區重新路三段,三重區大同里,50000,20,二個月,,,兩年,尚未裝潢,已辦,"25.0611820,121.4943370","25°03'40.3""N 121°29'39.6""E",241新北市三重區重新路三段42號之2 號6樓,25.061182,121.494337,1F,5F,54387.90387246708,-0.3904023201955375,559657.0
11748328,21-Dec,NTPC,新北市中和區中山路二段389號,中和區碧河里,260000,221,二個月,15470.0,,一年,中檔裝潢,已辦,"25.0047487,121.4868133","25°00'17.1""N 121°29'12.5""E",235新北市中和區106縣道389號,25.0047487,121.4868133,1F,10F,10401.480164566989,5.006793804635112,1428920.0
11835514,21-Dec,NTPC,新北市新莊區復興路一段,新莊區中和里,43000,27,二個月,,,一年,尚未裝潢,已辦,"25.0430840,121.4492450","25°02'35.1""N 121°26'57.3""E",242新北市新莊區復興路一段,25.043084,121.449245,1F,5F,49586.780383977166,-0.8166928454495626,1156210.0
11835751,21-Dec,NTPC,新北市三重區正義南路55號,三重區仁德里,38000,20,二個月,,,一年,簡易裝潢,已辦,"25.0604780,121.4980380","25°03'37.7""N 121°29'52.9""E",241新北市三重區正義南路,25.060478,121.498038,1F,6F,38366.68530723602,-1.6496677052488362,395748.0
11723586,21-Dec,NTPC,新北市林口區南勢一街17巷41號,林口區南勢里,28000,20,二個月,1874.0,,一年,尚未裝潢,已辦,"25.0744938,121.3595325","25°04'28.2""N 121°21'34.3""E",244018新北市林口區南勢二街162-2號,25.0744938,121.3595325,1F,7F,6952.096520265434,10.359882106826465,10578817.0
11783335,21-Dec,NTPC,新北市五股區新五路三段157號,五股區成功里,53000,35,面議,3400.0,平面式停車位，已含租金內,一年,簡易裝潢,未辦,"25.0923049,121.4474920","25°05'32.3""N 121°26'51.0""E",248新北市五股區新五路三段175號,25.0923049,121.447492,1F,2F,11210.626609664248,6.6875555861128255,1396543.0
11823303,21-Dec,NTPC,新北市中和區中山路三段121號,中和區員山里,100000,17,面議,,,一年,簡易裝潢,已辦,"25.0069284,121.4753524","25°00'24.9""N 121°28'31.3""E",235新北市中和區中山路三段,25.0069284,121.4753524,1F,4F,25770.73389188112,0.0068413864401447,1910881.0
11836598,21-Dec,NTPC,新北市八里區商港三路89號,八里區訊塘里,38000,39,二個月,,平面式停車位，費用另計,一年,尚未裝潢,已辦,"25.1541427,121.4027091","25°09'14.9""N 121°24'09.8""E",249新北市八里區商港九路,25.1541427,121.4027091,1F,15F,2446.770111215017,1.1983764399991603,923898.0
