area,brand,name,addr,filter,long,lat,density_2021,ave_pop_growth,2019_income,village_rent,rating,comment
TPE,cama,台北東門店,台北市大安區信義路二段52號,大安區光明里,121.525865,25.034479,32501.768513443545,1.728812850254139,2246154.0,2209.0,4.0,150.0
TPE,cama,台北公館店,台北市大安區羅斯福路三段325號,大安區大學里,121.532236,25.017077,45612.20539650289,-0.2215433181810648,4643860.0,1541.0,4.3,120.0
TPE,cama,忠孝復興店,台北市大安區復興南路一段133號,大安區光武里,121.544088,25.042764,37131.21454223301,-1.4931504734489267,3643217.0,5203.0,3.9,83.0
TPE,cama,忠孝敦化店,台北市大安區安和路一段15號,大安區建倫里,121.549903,25.039598,37710.81747880526,-0.986778955176056,4386578.0,4186.0,4.1,152.0
TPE,cama,南京三民店,台北市松山區南京東路五段141號,松山區東光里,121.561695,25.051666,36900.13471537036,-1.952800883867874,3394181.0,9026.0,4.3,198.0
TPE,cama,台北南京店,台北市松山區南京東路四段108號,松山區美仁里,121.554503,25.051427,16941.311151316353,-0.0230335214696915,1806613.0,3940.0,4.1,234.0
TPE,cama,民權復興店,台北市松山區民權東路三段120號,松山區民有里,121.545553,25.061878,32173.69790922893,-1.48568348970007,5637140.0,3369.0,4.1,110.0
TPE,cama,八德台安店,台北市松山區八德路二段358號,松山區中崙里,121.545759,25.047899,50089.33954483317,-0.5742544086064487,2164630.0,4444.0,4.2,120.0
TPE,cama,八德寧安店,台北市松山區八德路三段190號,松山區復建里,121.556076,25.047919,55314.83038929333,-0.5561154943877729,2179635.0,1322.0,4.3,107.0
TPE,cama,民生敦北店,台北市松山區民生東路四段79之2號,松山區精忠里,121.551548,25.058066,2017.1525851305707,-0.2587678637916646,2562417.0,4141.0,3.9,143.0
TPE,cama,松山饒河店,台北市松山區八德路四段668號,松山區慈祐里,121.576162,25.049865,27650.057474992504,-0.3575180954236886,2393420.0,3578.0,4.3,131.0
NTC,cama,四號公園店,新北市中和區中安街24號,中和區中安里,121.513233,25.003102,56261.39081287344,-0.7945740499115672,1832720.0,4334.0,4.3,232.0
