年,月,排名,隸屬區,里,鄰數,戶數,男,女,合計
110,11,189,蘆洲區,九芎里　,27,1979,2728,2883,5611
110,11,190,土城區,埤塘里,17,2986,3258,2336,5594
110,11,191,土城區,頂福里,25,2145,2775,2803,5578
110,11,192,新莊區,瓊林里,20,1997,2829,2747,5576
110,11,193,板橋區,宏翠里,21,2539,2612,2963,5575
110,11,194,土城區,員福里,28,2093,2800,2764,5564
110,11,195,板橋區,純翠里,16,2144,2635,2912,5547
110,11,196,三芝區,埔頭里,42,2225,2721,2811,5532
110,11,197,新莊區,海山里,24,2174,2690,2840,5530
110,11,198,新莊區,思源里,22,2124,2691,2825,5516
110,11,199,新莊區,信義里,25,2102,2636,2879,5515
110,11,200,五股區,德音里,30,2046,2725,2786,5511
110,11,201,樹林區,中山里,25,1919,2809,2701,5510
110,11,202,蘆洲區,仁義里　,18,2809,2999,2511,5510
110,11,203,新莊區,福基里,17,2492,2716,2791,5507
110,11,204,新莊區,中隆里,27,2125,2635,2845,5480
110,11,205,三峽區,中正里,34,1813,2778,2694,5472
110,11,206,蘆洲區,光華里　,19,2035,2609,2863,5472
110,11,207,新店區,寶興里,24,2590,2567,2905,5472
110,11,208,汐止區,金龍里,41,2553,2623,2847,5470
110,11,209,新莊區,自立里,26,2209,2605,2863,5468
110,11,210,三重區,永福里,30,2009,2614,2834,5448
110,11,211,新店區,江陵里,23,2333,2547,2898,5445
110,11,212,新店區,青潭里,22,2292,2616,2825,5441
110,11,213,蘆洲區,永安里　,19,1909,2618,2823,5441
110,11,214,汐止區,建成里,23,2426,2517,2917,5434
110,11,215,中和區,景平里,43,2531,2504,2916,5420
110,11,216,板橋區,華中里,20,1980,2699,2712,5411
110,11,217,蘆洲區,仁愛里　,19,1875,2637,2759,5396
110,11,218,三重區,五華里,18,2145,2583,2809,5392
110,11,219,新莊區,忠孝里,29,2297,2580,2801,5381
110,11,220,三重區,大有里,25,2033,2674,2705,5379
110,11,221,新店區,寶安里,39,2599,2454,2909,5363
110,11,222,新店區,員潭里,19,2314,2615,2744,5359
110,11,223,蘆洲區,長安里　,19,1828,2657,2691,5348
110,11,224,板橋區,民族里,20,1943,2557,2785,5342
110,11,225,新莊區,南港里,22,1976,2602,2726,5328
110,11,226,汐止區,拱北里,31,2195,2704,2617,5321
110,11,227,板橋區,聚安里,28,1996,2655,2663,5318
110,11,228,樹林區,樹西里,32,2031,2640,2671,5311
110,11,229,中和區,民安里,25,2030,2615,2692,5307
110,11,230,三重區,永順里,36,1892,2551,2753,5304
110,11,231,汐止區,崇德里,29,2145,2613,2690,5303
110,11,232,樹林區,文林里,36,1910,2582,2715,5297
110,11,233,新莊區,成德里,23,1866,2573,2714,5287
110,11,234,新店區,美潭里,20,2175,2595,2692,5287
110,11,235,板橋區,湳興里,25,2261,2519,2741,5260
110,11,236,汐止區,康福里,24,2750,2450,2795,5245
110,11,237,新店區,永安里,25,2007,2537,2699,5236
110,11,238,新莊區,光明里,21,1741,2564,2671,5235
110,11,239,樹林區,東昇里,28,1945,2579,2655,5234
110,11,240,泰山區,貴和里,42,2014,2548,2674,5222
110,11,241,板橋區,江翠里,20,2118,2570,2644,5214
110,11,242,中和區,碧河里,27,2257,2541,2669,5210
110,11,243,中和區,文元里,35,2010,2533,2674,5207
110,11,244,板橋區,自強里,35,2068,2538,2651,5189
110,11,245,永和區,福和里,23,2320,2448,2733,5181
110,11,246,三重區,慈祐里,26,1949,2535,2641,5176
110,11,247,中和區,南山里,38,2205,2499,2670,5169
110,11,248,新莊區,立泰里,21,1938,2470,2692,5162
110,11,249,鶯歌區,永吉里,32,1675,2565,2597,5162
110,11,250,汐止區,北峰里,26,2248,2571,2586,5157
110,11,251,板橋區,福丘里,19,2288,2369,2784,5153
110,11,252,土城區,頂埔里,31,2046,2519,2629,5148
110,11,253,八里區,訊塘里,23,2112,2512,2623,5135
110,11,254,樹林區,獇寮里,27,1821,2565,2570,5135
110,11,255,樹林區,彭厝里,40,1739,2538,2595,5133
110,11,256,林口區,中湖里,17,2002,2550,2572,5122
110,11,257,鶯歌區,大湖里,24,1923,2580,2534,5114
110,11,258,新莊區,立言里,24,1882,2434,2677,5111
110,11,259,樹林區,潭底里,33,2229,2810,2301,5111
110,11,260,板橋區,福德里,28,1967,2537,2570,5107
110,11,261,永和區,中溪里,21,2101,2524,2579,5103
110,11,262,中和區,華南里,24,2108,2520,2580,5100
110,11,263,三重區,永德里,34,1914,2510,2589,5099
110,11,264,中和區,福祥里,38,2098,2495,2602,5097
110,11,265,土城區,樂利里,36,1948,2458,2638,5096
110,11,266,土城區,大安里,25,2035,2540,2555,5095
110,11,267,新莊區,全泰里,27,1927,2481,2594,5075
110,11,268,中和區,復興里,55,2050,2371,2699,5070
110,11,269,中和區,自強里,25,1914,2470,2586,5056
110,11,270,土城區,安和里,28,1842,2493,2562,5055
110,11,271,土城區,廷寮里,23,1753,2525,2516,5041
110,11,272,蘆洲區,光明里　,23,1792,2454,2583,5037
110,11,273,泰山區,義學里,27,1850,2503,2533,5036
110,11,274,土城區,學士里,27,1894,2433,2603,5036
110,11,275,汐止區,保長里,22,2171,2458,2566,5024
110,11,276,中和區,秀明里,56,2364,2296,2725,5021
